Rank	State	Population
1	CA	39,538,223
2	TX	29,145,505
3	FL	21,538,187
4	NY	20,201,249
5	PA	12,812,508
6	IL	12,702,379
7	OH	11,799,448
8	GA	10,711,908
9	NC	10,439,388
10	MI	10,077,331
11	NJ	9,288,994
12	VA	8,631,393
13	WA	7,705,281
14	AZ	7,151,502
15	MA	7,029,917
16	TN	6,910,840
17	IN	6,785,528
18	MD	6,177,224
19	MO	6,154,913
20	WI	5,893,718
21	CO	5,773,714
22	MN	5,706,494
23	SC	5,118,425
24	AL	5,024,279
25	LA	4,657,757
26	KY	4,505,836
27	OR	4,237,256
28	OK	3,959,353
29	CT	3,605,944
30	UT	3,271,616
31	IA	3,190,369
32	NV	3,104,614
33	AR	3,011,524
34	MS	2,961,279
35	KS	2,937,880
36	NM	2,117,522
37	NE	1,961,504
38	ID	1,839,106
39	WV	1,793,716
40	HI	1,455,271
41	NH	1,377,529
42	ME	1,362,359
43	RI	1,097,379
44	MT	1,084,225
45	DE	989,948
46	SD	886,667
47	ND	779,094
48	AK	733,391
49	WDC	689,545
50	VT	643,077
51	WY	576,851
